
-----------------------------------------------------------------
Starting new training run
-----------------------------------------------------------------

-----------------------------------------------------------------
Starting new training run
-----------------------------------------------------------------
[2019-03-10 22:38:28.531]  Initialized Tacotron model. Dimensions: 
[2019-03-10 22:38:28.531]      embedding:                  256
[2019-03-10 22:38:28.531]      prenet out:                 128
[2019-03-10 22:38:28.531]      encoder out:                256
[2019-03-10 22:38:28.531]      attention out:              256
[2019-03-10 22:38:28.531]      concat attn & out:          512
[2019-03-10 22:38:28.531]      decoder cell out:           256
[2019-03-10 22:38:28.531]      decoder out (5 frames):     400
[2019-03-10 22:38:28.531]      decoder out (1 frame):      80
[2019-03-10 22:38:28.531]      postnet out:                256
[2019-03-10 22:38:28.531]      linear out:                 1025
[2019-03-10 22:38:41.482]  Step       1 [6.493 sec/step, loss = 0.83820 (mel : 0.35942 + lin : 0.47879)]
[2019-03-10 22:38:42.682]  Step       2 [1.200 sec/step, loss = 0.82046 (mel : 0.35484 + lin : 0.46562)]
[2019-03-10 22:38:43.353]  Step       3 [0.670 sec/step, loss = 0.82609 (mel : 0.34696 + lin : 0.47914)]
[2019-03-10 22:38:43.640]  Step       4 [0.288 sec/step, loss = 0.85829 (mel : 0.36929 + lin : 0.48900)]
[2019-03-10 22:38:44.377]  Step       5 [0.736 sec/step, loss = 0.84473 (mel : 0.35820 + lin : 0.48653)]
[2019-03-10 22:38:45.135]  Step       6 [0.758 sec/step, loss = 0.85793 (mel : 0.36149 + lin : 0.49644)]
[2019-03-10 22:38:45.908]  Step       7 [0.773 sec/step, loss = 0.85500 (mel : 0.36881 + lin : 0.48619)]
[2019-03-10 22:38:46.257]  Step       8 [0.349 sec/step, loss = 0.85335 (mel : 0.36311 + lin : 0.49024)]
[2019-03-10 22:38:47.062]  Step       9 [0.805 sec/step, loss = 0.85738 (mel : 0.36773 + lin : 0.48965)]
[2019-03-10 22:38:47.847]  Step      10 [0.785 sec/step, loss = 0.86228 (mel : 0.36842 + lin : 0.49387)]
[2019-03-10 22:38:48.630]  Step      11 [0.783 sec/step, loss = 0.87162 (mel : 0.37430 + lin : 0.49732)]
[2019-03-10 22:38:48.976]  Step      12 [0.346 sec/step, loss = 0.84903 (mel : 0.36377 + lin : 0.48526)]
[2019-03-10 22:38:49.783]  Step      13 [0.808 sec/step, loss = 0.85002 (mel : 0.35848 + lin : 0.49153)]
[2019-03-10 22:38:50.591]  Step      14 [0.807 sec/step, loss = 0.85340 (mel : 0.36325 + lin : 0.49015)]
[2019-03-10 22:38:51.541]  Step      15 [0.950 sec/step, loss = 0.83732 (mel : 0.34918 + lin : 0.48813)]
[2019-03-10 22:38:52.770]  Step      16 [1.229 sec/step, loss = 0.84246 (mel : 0.35332 + lin : 0.48914)]
[2019-03-10 22:38:53.143]  Step      17 [0.372 sec/step, loss = 0.85254 (mel : 0.35921 + lin : 0.49333)]
